14,3291,23,71,2,473,54,229,295,20,268,125,11,73,272,231,38,67,123,24,298,50,37,204,43,283
T. aestivum Monitoring,,,ALD,BAR,BOB,BOH,BRU,BUR,FRB,FRE,FRI,GEN,HAN,KON,LIM,NEU,RIE,SCD,SCG,SCL,SCS,TRO,UEB,UST,WSL
Sample,Code,aest06_1,aest07_1,aest15_1,aest26_1,aest28_1,aest35_1,aest36_1,aest01_1,aest10_1,aest18_1,aest24_1,aest25_1,aest29_1,aest31_1,,,,,,,,,,
FREI1,FRE_1_2011_2010_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
ALD1,ALD_3_2011_2010_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD2,ALD_3_2011_2010_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
FREI2,FRE_3_2011_2010_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI3,FRE_3_2011_2010_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
RIETH1,RIE_3_2011_2010_6,218,261,312,178,356,148,326,236,290,144,298,128,216,318,,,,,,,,,,
RIETH2,RIE_3_2011_2010_mixed,218,261,312,145,359,148,326,242,295,144,298,122,211,318,,,,,,,,,,
TROSS1,TRO_3_2011_2010_6,218,256,312,142,353,140,326,248,280,144,292,128,211,318,,,,,,,,,,
TROSS2,TRO_3_2011_2010_6,236,256,312,142,353,140,322,248,280,164,298,128,211,318,,,,,,,,,,
SCHLI1,SCG_3_2011_2010_6,218,256,312,142,359,152,322,242,290,164,298,122,216,308,,,,,,,,,,
SCHLI2,SCG_3_2011_2010_6,218,256,312,142,359,152,322,242,290,164,298,122,216,308,,,,,,,,,,
SCHLI3,SCG_3_2011_2010_2,218,256,312,178,353,152,322,242,290,160,298,122,211,308,,,,,,,,,,
ALD3,ALD_3_2011_2010_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD4,ALD_3_2011_2010_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
FREI4,FRE_3_2011_2010_,236,261,312,157,389,152,322,254,295,144,295,128,216,0,,,,,,,,,,
RIETH3,RIE_3_2011_2010_4,236,261,312,142,389,148,326,242,280,144,298,122,211,313,,,,,,,,,,
RIETH4,RIE_3_2011_2010_4,218,261,312,178,356,148,326,242,280,160,298,128,216,313,,,,,,,,,,
TROSS3,TRO_3_2011_2010_6,218,256,312,142,353,148,326,248,280,144,292,128,211,318,,,,,,,,,,
TROSS4,TRO_3_2011_2010_6,218,256,312,142,353,148,326,248,280,144,292,128,211,318,,,,,,,,,,
ALD5,ALD_4_2011_2010_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
RIETH5,RIE_4_2011_2010_mixed,218,261,312,178,356,148,326,242,290,144,292,128,211,313,,,,,,,,,,
RIETH6,RIE_4_2011_2010_1,218,261,312,145,356,148,326,242,280,144,298,122,216,313,,,,,,,,,,
TROSS5,TRO_4_2011_2010_,218,256,312,142,353,148,326,0,280,144,292,128,211,318,,,,,,,,,,
TROSS6,TRO_4_2011_2010_6,236,256,312,142,353,148,322,248,280,164,298,128,211,318,,,,,,,,,,
FREI5,FRE_4_2011_2010_,230,266,317,157,401,152,326,254,0,136,304,137,204,313,,,,,,,,,,
FREI6,FRE_4_2011_2010_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
ALD6,ALD_5_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD7,ALD_5_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD8,ALD_5_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
BOHHAS1,BOH_5_2011_2011_1,218,256,312,145,389,148,326,242,280,140,298,128,216,313,,,,,,,,,,
FREI7,FRE_5_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI8,FRE_5_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
ALD10,ALD_6_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD9,ALD_6_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
RIETH7,RIE_6_2011_2011_5,236,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
RIETH8,RIE_6_2011_2011_4,218,261,312,142,392,148,326,242,295,160,298,122,211,313,,,,,,,,,,
BOHHAS2,BOH_6_2011_2011_1,218,261,312,178,383,148,326,242,280,140,298,128,216,313,,,,,,,,,,
FREI10,FRE_6_2011_2011_mixed,236,261,312,157,389,152,322,254,295,144,295,128,216,300,,,,,,,,,,
FREI9,FRE_6_2011_2011_,230,266,317,157,401,152,326,254,0,136,304,137,204,313,,,,,,,,,,
SCHLI4,SCG_7_2011_2011_6,218,256,312,145,353,152,322,242,290,160,298,128,211,308,,,,,,,,,,
SCHLI5,SCG_7_2011_2011_6,218,256,312,145,353,152,322,242,290,160,298,128,211,308,,,,,,,,,,
SCHLI6,SCG_7_2011_2011_6,218,256,312,145,353,152,322,242,290,160,298,128,211,308,,,,,,,,,,
ALD11,ALD_7_2011_2011_5,236,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD12,ALD_7_2011_2011_,234,261,312,145,356,148,326,242,295,140,0,128,211,308,,,,,,,,,,
FREI11,FRE_7_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI12,FRE_7_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
SCHLI7,SCG_7_2011_2011_2,218,256,312,157,359,152,322,254,290,144,298,122,211,318,,,,,,,,,,
FREI13,FRE_7_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI14,FRE_7_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI15,FRE_7_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI16,FRE_7_2011_2011_mixed,236,261,312,157,389,152,322,254,295,144,295,128,216,300,,,,,,,,,,
RIETH9,RIE_7_2011_2011_,218,261,312,178,356,148,326,242,0,144,292,128,211,313,,,,,,,,,,
BOHBU1,BOB_8_2011_2011_1,218,256,312,145,389,148,326,242,280,140,298,128,216,313,,,,,,,,,,
BOHHAS3,BOH_8_2011_2011_1,218,261,312,157,389,148,326,236,280,144,298,128,216,318,,,,,,,,,,
ALD13,ALD_8_2011_2011_5,234,261,312,142,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
ALD14,ALD_8_2011_2011_6,218,261,312,142,353,148,326,242,290,164,298,128,211,308,,,,,,,,,,
FREI17,FRE_8_2011_2011_3,230,266,317,157,401,152,326,254,294,136,304,137,204,313,,,,,,,,,,
FREI18,FRE_8_2011_2011_mixed,236,261,312,157,389,152,322,254,295,144,295,128,216,300,,,,,,,,,,
RIETH10,RIE_8_2011_2011_mixed,218,261,312,178,356,148,326,242,290,144,292,128,211,313,,,,,,,,,,
ALD15,ALD_8_2011_2011_5,234,261,312,145,356,148,326,242,295,140,298,128,211,308,,,,,,,,,,
RIETH11,RIE_8_2011_2011_mixed,224,261,312,178,383,148,326,242,280,160,295,128,211,308,,,,,,,,,,
RIETH12,RIE_8_2011_2011_4,218,261,312,157,356,148,326,242,290,164,292,128,211,313,,,,,,,,,,
TROSS7,TRO_8_2011_2011_6,218,256,312,142,353,148,326,248,280,144,292,128,211,318,,,,,,,,,,
BOHBU2,BOB_9_2011_2011_1,218,256,312,145,389,148,326,242,280,140,298,128,216,313,,,,,,,,,,
BOHHAS4,BOH_9_2011_2011_,218,261,312,157,0,148,326,236,280,144,298,128,216,313,,,,,,,,,,
BOHHAS5,BOH_9_2011_2011_1,218,261,312,157,389,148,326,236,280,144,298,128,216,313,,,,,,,,,,
