Code,1,2,3,4,5,6
UEBERL14,0.0051,0.0081,0.003,0.0069,0.9699,0.007
UEBERL66,0.0194,0.0066,0.003,0.0186,0.9366,0.0159
BOHBU417,0.0161,0.0059,0.003,0.0073,0.9585,0.0091
UEBERL143,0.006,0.006,0.003,0.0076,0.9708,0.0067
UEBERL143,0.0061,0.0058,0.003,0.0078,0.9711,0.0062
UEBERL126,0.0068,0.0063,0.003,0.0084,0.9685,0.007
BOHBU208,0.1696,0.0258,0.003,0.0257,0.7396,0.0364
FRIC80,0.003,0.0034,0.9818,0.004,0.0048,0.003
BRU002,0.003,0.003,0.982,0.004,0.005,0.003
BRU002,0.003,0.003,0.982,0.004,0.005,0.003
UST39,0.288,0.0849,0.0148,0.2061,0.0124,0.3937
BUR3,0.7749,0.0108,0.0038,0.0147,0.0294,0.1664
SCHLIGR132,0.0092,0.2721,0.0068,0.0274,0.0207,0.6638
BOHBU190,0.9592,0.0069,0.0037,0.0159,0.005,0.0093
BOHBU310,0.8844,0.0132,0.0036,0.0767,0.0104,0.0117
BOHBU361,0.0071,0.0068,0.005,0.9639,0.0112,0.006
BOHHAS8,0.5801,0.0218,0.006,0.008,0.0147,0.3695
BOHBU332,0.0775,0.0087,0.0053,0.0492,0.0135,0.8457
SCHLI4,0.013,0.15,0.0052,0.0183,0.0202,0.7933
SCHLI4,0.0129,0.1537,0.0051,0.0182,0.0204,0.7897
SCHLIGR352,0.0248,0.6903,0.0253,0.0109,0.0152,0.2334
BOHBU125,0.1019,0.0274,0.0054,0.4057,0.056,0.4036
BOHBU42,0.9435,0.0049,0.0031,0.0232,0.0112,0.014
NEUCH26,0.3592,0.0143,0.008,0.0641,0.028,0.5264
KON129,0.0553,0.0108,0.0061,0.0064,0.007,0.9143
SCHLIDR10,0.0753,0.2543,0.0057,0.0451,0.0156,0.604
BOHBU41,0.6534,0.0138,0.0069,0.016,0.0169,0.293
BOHBU259,0.0061,0.0059,0.005,0.9687,0.0085,0.0058
BOHBU151,0.8046,0.0163,0.0086,0.011,0.0082,0.1513
SCHLIDR11,0.0658,0.30620000000000003,0.0058,0.1099,0.0248,0.4876
BOHBU347,0.8527,0.0186,0.005,0.038,0.0508,0.035
BOHBU328,0.9671,0.0044,0.003,0.0082,0.0089,0.0083
BOHBU67,0.9623,0.005,0.0031,0.0087,0.0098,0.0111
BOHBU358,0.9347,0.005,0.0034,0.0089,0.0306,0.0174
BOHHAS41,0.8967,0.0083,0.0034,0.0083,0.044,0.0391
BOHBU3,0.9051,0.0054,0.0031,0.0258,0.0403,0.0202
BOHBU4,0.9595,0.0043,0.0031,0.0126,0.0123,0.0081
BOHBU198,0.9626,0.0042,0.003,0.0082,0.0141,0.0078
BUR315,0.003,0.005,0.9809,0.004,0.003,0.0041
BOHBU179,0.8718,0.0417,0.008,0.0499,0.0106,0.0181
SCHLIDR50,0.0333,0.8672,0.004,0.011,0.0466,0.0379
SCHLIDR7,0.049,0.7695,0.0049,0.0861,0.0281,0.0624
BOHBU414,0.9742,0.004,0.003,0.006,0.005,0.0078
BOHBU79,0.9689,0.0069,0.003,0.0091,0.005,0.0071
BOHBU28,0.9429,0.0059,0.003,0.0104,0.0116,0.0262
BOHBU10,0.9701,0.0049,0.003,0.0069,0.006,0.0091
BOHBU55,0.9658,0.0052,0.0034,0.007,0.0058,0.0128
BOHBU122,0.9667,0.0059,0.0031,0.0062,0.0081,0.01
BOHBU145,0.9608,0.0064,0.0033,0.0062,0.0087,0.0146
BRU115,0.0073,0.0116,0.9553,0.0093,0.008,0.0084
BOHBU85,0.9629,0.0072,0.003,0.0143,0.0054,0.0071
BOHHAS1,0.9662,0.005,0.003,0.0098,0.007,0.009
BOHHAS1,0.9666,0.005,0.003,0.0093,0.0069,0.0091
BOHBU16,0.9621,0.0052,0.0031,0.0097,0.0076,0.0123
SCHLIDR16,0.2159,0.2639,0.005,0.2788,0.0232,0.2133
SCHLIDR20,0.1032,0.6416,0.0051,0.1187,0.0179,0.1136
BOHBU451,0.9665,0.005,0.0034,0.0074,0.0059,0.0118
BOHBU14,0.9663,0.0043,0.003,0.0107,0.007,0.0087
BUR81,0.1176,0.0305,0.0163,0.0124,0.0163,0.8067
WSL241,0.0257,0.3097,0.0149,0.2931,0.0299,0.3268
BOHBU545,0.0219,0.0112,0.005,0.948,0.006,0.0079
BRU071,0.003,0.003,0.9849,0.0031,0.003,0.003
BRU071,0.003,0.0032,0.9847,0.0031,0.003,0.003
BOHBU96,0.0196,0.0069,0.004,0.9452,0.0127,0.0117
FREIBRUM3,0.0117,0.0583,0.0096,0.8604,0.0099,0.0501
FREIBRUM3,0.0116,0.0612,0.0096,0.8575,0.0101,0.05
BOHBU141,0.013,0.0058,0.004,0.96,0.0056,0.0117
BOHBU5,0.0158,0.008,0.004,0.9598,0.006,0.0064
BOHBU60,0.0209,0.005,0.004,0.9354,0.0084,0.0263
BOHHAS12,0.0519,0.0093,0.0049,0.847,0.0278,0.0591
LIM102,0.1773,0.0419,0.0247,0.1571,0.0131,0.5859
SCHLIDR19,0.0101,0.8061,0.007,0.1195,0.0143,0.0429
SCHLIDR6,0.012,0.9496,0.0057,0.0151,0.009,0.0087
SCHLI7,0.0056,0.9692,0.0057,0.0069,0.005,0.0077
