Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
BOHBU173,BOB_6_2016,0,218,256,280,312,140,298,128,145,389,216,0,148,326
BOHBU179,BOB_8_2016,254,218,256,280,312,140,298,128,145,383,216,313,148,326
BOHBU180,BOB_8_2016,242,218,256,280,312,140,298,122,157,383,216,308,148,322
BOHBU184,BOB_8_2016,0,218,256,280,312,140,298,122,157,383,216,308,148,322
BOHBU190,BOB_10_2016,236,218,256,280,312,140,298,122,145,338,216,318,148,326
BOHBU198,BOB_10_2016,242,218,256,295,312,140,292,128,145,383,216,313,148,326
BOHBU20,BOB_7_2012,0,218,256,280,312,140,298,128,145,389,216,313,148,326
BOHBU208,BOB_10_2016,236,236,261,295,312,140,298,128,178,389,211,308,148,326
BOHBU213,BOB_11_2016,236,0,256,280,312,140,298,128,145,389,216,318,148,326
BOHBU216,BOB_11_2016,242,236,256,280,312,164,298,122,157,356,211,318,148,326
BOHBU217,BOB_11_2016,236,218,256,295,312,140,298,128,145,389,216,318,148,0
BOHBU226,BOB_11_2016,242,218,261,280,312,140,298,122,145,383,216,308,148,326
BOHBU228,BOB_11_2016,242,218,261,280,312,140,298,122,145,389,216,313,148,326
BOHBU236,BOB_11_2016,236,236,261,295,312,140,298,128,178,383,211,308,148,322
BOHBU248,BOB_12_2016,236,218,261,280,312,140,298,128,145,338,216,318,148,326
BOHBU253,BOB_12_2016,242,236,261,280,312,160,301,122,157,383,211,308,148,326
BOHBU254,BOB_12_2016,242,236,261,280,312,160,298,122,157,356,211,318,148,326
BOHBU255,BOB_12_2016,254,236,261,295,312,164,298,128,178,356,211,313,148,322
BOHBU257,BOB_12_2016,242,217,256,280,312,160,301,122,157,356,216,308,148,326
BOHBU259,BOB_12_2016,242,217,261,280,312,160,301,122,157,383,211,308,148,326
BOHBU260,BOB_12_2016,242,236,256,280,312,160,298,122,157,389,211,313,148,326
BOHBU27,BOB_9_2012,242,218,261,280,312,140,298,128,145,383,211,308,148,326
BOHBU28,BOB_9_2012,236,218,256,280,312,140,298,128,145,389,216,308,148,326
BOHBU295,BOB_7_2017,242,218,261,280,312,140,298,122,178,383,211,308,148,326
BOHBU296,BOB_8_2017,242,236,256,280,312,160,298,122,157,356,211,313,148,326
BOHBU30,BOB_9_2012,236,218,261,295,312,140,298,128,142,359,216,313,148,326
BOHBU300,BOB_9_2017,242,236,256,280,312,160,298,122,142,356,211,308,148,326
BOHBU309,BOB_9_2017,242,236,261,280,312,160,298,122,157,383,211,308,148,326
BOHBU310,BOB_9_2017,242,218,256,280,312,140,298,122,145,338,211,318,148,326
BOHBU312,BOB_9_2017,254,236,256,280,312,144,298,122,145,380,221,313,148,322
BOHBU313,BOB_9_2017,242,218,261,280,312,164,298,128,157,356,231,313,148,326
BOHBU314,BOB_9_2017,254,230,266,294,317,136,304,137,157,401,204,313,152,326
BOHBU328,BOB_9_2017,236,218,256,280,312,140,298,128,145,383,216,313,148,326
BOHBU332,BOB_9_2017,242,218,256,280,312,160,298,128,145,353,216,308,148,326
BOHBU340,BOB_10_2017,236,218,261,295,312,140,298,128,178,404,216,308,148,326
BOHBU343,BOB_10_2017,242,236,256,280,312,160,298,122,157,356,211,318,148,326
BOHBU347,BOB_10_2017,242,218,256,280,312,140,298,128,145,383,216,313,148,322
BOHBU35,BOB_9_2012,0,236,261,288,312,144,298,128,178,383,241,308,148,322
BOHBU356,BOB_10_2017,0,218,256,280,312,140,298,128,145,383,216,313,148,326
