Column1,MLG,total_samples,,,0.267904509
150,MLG233,1,,,
153,MLG236,1,,,
156,MLG239,1,,,
157,MLG24,1,,,
158,MLG240,1,,,
159,MLG241,1,,,
160,MLG242,1,,,
161,MLG243,1,,,
162,MLG244,1,,,
163,MLG245,1,,,
164,MLG246,1,,,
165,MLG247,1,,,
166,MLG248,1,,,
167,MLG249,1,,,
169,MLG250,1,,,
170,MLG251,1,,,
171,MLG252,1,,,
174,MLG255,1,,,
179,MLG26,1,,,
180,MLG260,1,,,
181,MLG261,1,,,
182,MLG262,1,,,
183,MLG263,1,,,
184,MLG264,1,,,
185,MLG265,1,,,
186,MLG266,1,,,
188,MLG268,1,,,
189,MLG269,1,,,
190,MLG27,1,,,
192,MLG271,1,,,
193,MLG272,1,,,
194,MLG273,1,,,
196,MLG275,1,,,
197,MLG276,1,,,
198,MLG277,1,,,
199,MLG278,1,,,
200,MLG279,1,,,
201,MLG28,1,,,
202,MLG280,1,,,
207,MLG285,1,,,
211,MLG289,1,,,
212,MLG29,1,,,
213,MLG290,1,,,
214,MLG291,1,,,
215,MLG292,1,,,
216,MLG293,1,,,
217,MLG294,1,,,
219,MLG296,1,,,
221,MLG298,1,,,
222,MLG299,1,,,
223,MLG3,1,,,
224,MLG30,1,,,
225,MLG300,1,,,
226,MLG301,1,,,
227,MLG302,1,,,
228,MLG303,1,,,
230,MLG305,1,,,
231,MLG306,1,,,
232,MLG307,1,,,
233,MLG308,1,,,
234,MLG309,1,,,
235,MLG31,1,,,
238,MLG312,1,,,
239,MLG313,1,,,
240,MLG314,1,,,
241,MLG315,1,,,
244,MLG318,1,,,
245,MLG319,1,,,
247,MLG320,1,,,
249,MLG322,1,,,
250,MLG323,1,,,
254,MLG327,1,,,
256,MLG329,1,,,
258,MLG330,1,,,
259,MLG331,1,,,
262,MLG334,1,,,
263,MLG335,1,,,
264,MLG336,1,,,
265,MLG337,1,,,
267,MLG339,1,,,
268,MLG34,1,,,
269,MLG340,1,,,
270,MLG341,1,,,
271,MLG342,1,,,
272,MLG343,1,,,
273,MLG344,1,,,
277,MLG348,1,,,
278,MLG349,1,,,
279,MLG35,1,,,
282,MLG352,1,,,
283,MLG353,1,,,
286,MLG356,1,,,
287,MLG357,1,,,
288,MLG358,1,,,
290,MLG36,1,,,
292,MLG361,1,,,
295,MLG364,1,,,
299,MLG368,1,,,
300,MLG369,1,,,
301,MLG37,1,,,
302,MLG370,1,,,
303,MLG371,1,,,
304,MLG372,1,,,
305,MLG373,1,,,
306,MLG374,1,,,
307,MLG375,1,,,
308,MLG376,1,,,
311,MLG379,1,,,
313,MLG380,1,,,
316,MLG383,1,,,
318,MLG385,1,,,
321,MLG388,1,,,
323,MLG39,1,,,
324,MLG390,1,,,
325,MLG391,1,,,
327,MLG393,1,,,
332,MLG398,1,,,
333,MLG399,1,,,
334,MLG4,1,,,
337,MLG401,1,,,
338,MLG402,1,,,
339,MLG403,1,,,
340,MLG404,1,,,
341,MLG405,1,,,
345,MLG409,1,,,
346,MLG41,1,,,
347,MLG410,1,,,
348,MLG411,1,,,
350,MLG413,1,,,
354,MLG417,1,,,
355,MLG418,1,,,
356,MLG419,1,,,
357,MLG42,1,,,
359,MLG421,1,,,
360,MLG422,1,,,
362,MLG424,1,,,
364,MLG426,1,,,
365,MLG427,1,,,
366,MLG428,1,,,
368,MLG43,1,,,
370,MLG431,1,,,
372,MLG433,1,,,
373,MLG434,1,,,
374,MLG435,1,,,
377,MLG438,1,,,
379,MLG44,1,,,
382,MLG442,1,,,
383,MLG443,1,,,
388,MLG448,1,,,
390,MLG45,1,,,
391,MLG46,1,,,
392,MLG47,1,,,
393,MLG48,1,,,
394,MLG49,1,,,
395,MLG5,1,,,
396,MLG50,1,,,
397,MLG51,1,,,
399,MLG53,1,,,
400,MLG54,1,,,
401,MLG55,1,,,
402,MLG56,1,,,
404,MLG58,1,,,
405,MLG59,1,,,
407,MLG60,1,,,
408,MLG61,1,,,
409,MLG62,1,,,
411,MLG64,1,,,
413,MLG66,1,,,
416,MLG69,1,,,
419,MLG71,1,,,
420,MLG72,1,,,
422,MLG74,1,,,
423,MLG75,1,,,
426,MLG78,1,,,
429,MLG80,1,,,
435,MLG86,1,,,
438,MLG89,1,,,
440,MLG90,1,,,
442,MLG92,1,,,
443,MLG93,1,,,
444,MLG94,1,,,
445,MLG95,1,,,
446,MLG96,1,,,
447,MLG97,1,,,
448,MLG98,1,,,
