"","grp.grp"
"BOHHAS27","3"
"FREIBRUM7","6"
"FREIBRUM8","6"
"SCHLIDR21","5"
"SCHLIDR23","3"
"SCHLIDR24","5"
"SCHLIDR25","5"
"SCHLIDR26","3"
"SCHLIGR29","3"
"SCHLIGR30","4"
"BOHBU115","3"
"BOHBU116","5"
"ALD35","3"
"ALD36","1"
"BOHBU44","4"
"BOHBU45","3"
"RIETH28","5"
"RIETH29","5"
"TROSS24","5"
"TROSS25","5"
"BOHHAS30","1"
"BOHHAS31","1"
"SCHLI88","4"
"SCHLIDR27","4"
"SCHLIGR31","4"
"SCHLIGR32","4"
"FREI44","6"
"FREI45","6"
"FREI46","6"
"FREI47","6"
"RIETH30","3"
"RIETH31","4"
"TROSS26","5"
"TROSS27","5"
"SCHLIDR28","5"
"SCHLIGR33","4"
"ALD37","1"
"ALD38","1"
"FREI48","6"
"ALD39","1"
"ALD40","1"
"RIETH32","4"
"RIETH33","4"
"TROSS28","4"
"TROSS29","5"
"BOHBU46","4"
"SCHLI91","4"
"SCHLIGR34","4"
"ALD41","3"
"ALD42","1"
"RIETH34","5"
"TROSS30","5"
"FREI49","6"
"UEBERL8","1"
"ALD43","1"
"ALD44","1"
"FREIBRUM11","4"
"RIETH35","3"
"RIETH36","5"
"TROSS32","5"
"UEBERL9","1"
"ALD45","1"
"RIETH37","4"
"RIETH38","5"
"TROSS34","5"
"TROSS35","5"
"UEBERL11","1"
"UEBERL12","1"
"TROSS36","5"
"TROSS37","5"
"UEBERL13","1"
"BOHBU49","3"
"UEBERL14","2"
"BUR1","6"
"BUR2","6"
"FREI51","6"
"SCHLIGR35","4"
"SCHLIGR38","3"
"SCHLIGR39","5"
"SCHLIGR40","5"
"FREI52","6"
"FREI53","6"
"BUR3","3"
"SCHIF1","1"
"SCHIF2","1"
"SCHIF3","3"
"BOHBU51","5"
"BOHBU52","1"
"BOHBU53","3"
"BOHBU54","2"
"BOHBU55","1"
"UEBERL15","1"
"UEBERL16","5"
"UEBERL17","1"
"SCHLIDR30","5"
"SCHLIGR44","5"
"BOHHAS34","3"
"BUR10","6"
"BUR11","6"
"BUR12","6"
"BUR13","6"
"BUR14","6"
"BUR15","6"
"BUR4","6"
"BUR5","6"
"BUR6","6"
"BUR7","6"
"BUR8","6"
"BUR9","6"
"NEUCH2","1"
"UST1","5"
"UST2","1"
