"","grp.grp"
"BRU118","6"
"BRU119","6"
"BRU120","6"
"BRU121","6"
"HAN001","3"
"KON84","1"
"KON93","1"
"KON96","1"
"LIM063","3"
"LIM064","3"
"LIM065","3"
"LIM066","3"
"LIM067","3"
"LIM068","4"
"LIM069","6"
"LIM070","6"
"LIM071","4"
"LIM072","1"
"SCHLIDR121","4"
"SCHLIDR122","4"
"WSL058","2"
"WSL059","2"
"BOHBU240","3"
"BOHBU241","2"
"BOHBU242","3"
"BOHBU246","4"
"BOHBU247","5"
"BOHBU248","1"
"BRU123","6"
"BRU124","6"
"BRU128","6"
"KON100","1"
"KON102","1"
"KON97","1"
"KON98","2"
"LIM073","6"
"LIM074","1"
"BOHBU253","4"
"BOHBU254","4"
"BOHBU255","5"
"BOHBU257","4"
"BOHBU259","4"
"BOHBU260","4"
"BOHBU261","4"
"BOHBU262","5"
"BOHBU263","4"
"BOHBU264","4"
"HAN035","3"
"HAN036","3"
"HAN037","3"
"HAN038","3"
"LIM075","3"
"LIM076","3"
"BRU129","6"
"BRU130","6"
"BRU131","6"
"BRU132","6"
"BRU133","6"
"HAN027","3"
"HAN028","3"
"HAN029","3"
"HAN030","3"
"HAN031","3"
"KON109","1"
"NEUCH39","1"
"NEUCH40","1"
"BRU135","6"
"LIM078","5"
"LIM079","3"
"LIM080","1"
"HAN032","3"
"HAN033","3"
"HAN040","2"
"WSL060","2"
"LIM082","1"
"LIM083","3"
"LIM085","1"
"LIM086","1"
"LIM087","1"
"BOHBU265","1"
"BOHBU266","1"
"BOHBU267","3"
"BOHBU268","3"
"HAN041","2"
"HAN042","2"
"HAN045","2"
"HAN046","2"
"HAN047","2"
"HAN048","2"
"HAN049","2"
"HAN050","2"
"HAN051","2"
"HAN052","2"
"LIM090","1"
"LIM092","3"
"LIM093","1"
"LIM094","3"
"BRU137","6"
"BRU140","6"
"LIM095","1"
"LIM096","3"
"LIM097","1"
"LIM098","1"
"LIM099","4"
"WSL061","2"
"WSL062","2"
"WSL063","2"
"WSL064","2"
"WSL065","2"
"WSL066","2"
"WSL067","2"
"BOHBU269","3"
"BOHBU270","3"
"BOHBU271","1"
"BOHBU272","3"
"BOHBU273","3"
"BOHBU274","1"
"BOHBU275","3"
"BOHBU276","1"
"BOHBU277","3"
"BOHBU278","3"
"BOHBU279","3"
"BOHBU280","3"
"BOHBU281","3"
"BOHBU282","5"
"BOHBU283","3"
"BOHBU284","3"
"BOHBU285","3"
"BOHBU286","1"
"HAN002","3"
"HAN003","3"
"HAN004","3"
"HAN005","3"
"HAN006","3"
"HAN008","3"
"SCHLIGR337","4"
"WSL068","2"
"WSL069","2"
"WSL070","2"
"WSL071","2"
"WSL072","2"
"WSL073","2"
"WSL074","2"
"WSL075","2"
"FREI156","6"
"FREI157","6"
"FREI158","6"
"FREI159","6"
"FREI160","6"
"FREI161","6"
"FREI162","6"
"FREI163","6"
"FREI164","6"
"FREI165","6"
"FREI166","6"
"FREI167","6"
"FREI168","6"
"FREI169","6"
"FREI170","6"
"FREI171","6"
"FREI172","6"
"FREI173","6"
"FREI174","6"
"FREI175","6"
"FREI176","6"
"FREI177","6"
"FREI179","6"
"FREI180","6"
"FREI182","6"
"FREI183","6"
"FREI185","6"
"FREI186","6"
"FREI187","6"
"FREI188","6"
"FREI189","6"
"FREI190","6"
"FREI191","6"
"FREI192","6"
"FREI193","6"
"FREI194","6"
"FREI195","6"
"FREI196","6"
"FREI197","6"
"FREI198","6"
"FREI199","6"
"FREI200","6"
"FREI201","6"
"FREI202","6"
"FREI203","6"
"FREI204","6"
"HAN009","3"
"HAN055","2"
"BOHBU287","1"
"BOHBU288","1"
"BOHBU289","3"
"BOHBU290","3"
"BOHBU291","3"
"BOHBU292","1"
"BOHBU293","3"
"LIM100","3"
"LIM101","3"
"LIM102","4"
"LIM103","3"
"LIM104","1"
"LIM105","1"
"SCHLIGR344","4"
"BRU141","6"
"BRU142","6"
"BRU143","4"
"FRIC75","3"
"FRIC76","3"
"LIM106","1"
"LIM107","1"
"LIM108","3"
"LIM109","3"
"LIM110","4"
"LIM111","1"
"LIM112","4"
"LIM113","3"
"WSL076","2"
"WSL077","2"
"WSL078","2"
"WSL079","2"
"WSL080","2"
"WSL081","2"
"WSL082","2"
"WSL083","2"
"WSL084","2"
"WSL085","2"
"WSL086","2"
"WSL087","2"
"WSL088","2"
"WSL089","2"
"BOHBU296","4"
"BOHBU297","1"
"BOHBU298","3"
"BOHBU299","5"
"BOHBU300","5"
"BOHBU301","1"
"BOHBU302","3"
"BOHBU303","1"
"BOHBU304","5"
"BOHBU305","1"
"BOHBU306","3"
"BOHBU308","1"
"BOHBU309","5"
"BOHBU310","5"
"BOHBU311","5"
"FREI205","6"
"FREI206","6"
"FREI207","6"
"FREI208","6"
"FREI209","6"
"FREI210","6"
"FREI211","6"
"FREI212","6"
"FREI214","6"
"FREI215","6"
"FREI217","6"
"FREI218","6"
"FREI219","6"
"FREI220","6"
"FREI221","6"
"FREI222","6"
"FREI223","6"
"FREI224","6"
"FREI225","6"
"FREI226","6"
"FREI227","6"
"FREI228","6"
"FREI229","6"
"FREI230","6"
"FREI231","6"
"FREI233","6"
"FRIC77","3"
"FRIC78","3"
"FRIC79","3"
"KON119","1"
"KON120","1"
"KON122","1"
"HAN010","3"
"HAN011","3"
"LIM114","3"
"LIM115","4"
"LIM116","3"
"LIM117","3"
"LIM118","3"
"LIM119","3"
"LIM120","3"
"LIM121","1"
"LIM122","1"
"LIM123","1"
"LIM124","1"
"LIM125","1"
"LIM126","3"
"LIM127","3"
"LIM128","1"
"LIM129","3"
"SCHLIGR352","4"
"SCHLIGR354","4"
"SCHLIGR355","5"
"WSL090","2"
"WSL091","2"
"WSL092","2"
"WSL093","2"
"WSL094","2"
"WSL095","2"
"WSL096","2"
"BOHBU312","4"
"BOHBU313","5"
"FREI234","6"
"FREI235","6"
"FREI236","6"
"FREI238","6"
"FREI240","5"
"FREI242","6"
"FREI243","6"
"FREI245","6"
"FREI247","5"
"FREI249","6"
"FRIC80","6"
"WSL097","2"
"WSL098","2"
"WSL099","2"
"WSL100","2"
"WSL101","2"
"WSL102","2"
"WSL103","2"
"WSL104","3"
"WSL105","2"
"WSL106","2"
"WSL107","2"
"WSL108","2"
"WSL109","2"
"WSL110","2"
"WSL111","2"
"WSL112","2"
"LIM130","4"
"LIM131","3"
"LIM132","4"
"LIM133","3"
"LIM134","4"
"LIM135","4"
"LIM136","4"
"SCHIF48","1"
"SCHIF49","1"
"FRIC81","3"
"FRIC82","3"
"FRIC83","3"
"FRIC84","3"
"FRIC85","3"
"FRIC86","3"
"KON125","2"
"KON126","1"
"KON127","1"
"KON128","1"
"BOHBU315","1"
"BOHBU316","3"
"BOHBU317","5"
"BOHBU318","3"
"BOHBU319","1"
"BOHBU320","3"
"BOHBU321","1"
"BOHBU322","3"
"BOHBU323","1"
"BOHBU324","1"
"BOHBU325","1"
"BOHBU326","1"
"BOHBU327","1"
"BOHBU328","3"
"BOHBU329","1"
"BOHBU330","3"
"BOHBU331","3"
"BOHBU332","1"
"BOHBU333","3"
"BOHBU334","3"
"BOHBU335","3"
"BOHBU336","1"
"BOHBU337","3"
"BOHBU338","1"
"BRU147","4"
"LIM137","1"
"LIM138","1"
"LIM139","1"
"LIM140","1"
"LIM141","1"
"LIM142","1"
"LIM143","1"
"LIM144","3"
"LIM145","1"
"LIM146","1"
"LIM147","1"
"FREI251","6"
"FREI253","6"
"FREI257","6"
"FREI258","6"
"FREI261","6"
"FREI262","6"
"FREI263","6"
"FREI266","6"
"FREI267","6"
"FREI268","6"
"FREI269","6"
"FREI272","6"
"FREI274","6"
"FREI275","6"
"FREI276","6"
"FRIC100","3"
"FRIC101","3"
"FRIC102","3"
"FRIC103","3"
"FRIC104","3"
"FRIC106","3"
"FRIC107","3"
"FRIC87","3"
"FRIC88","3"
"FRIC89","3"
"FRIC90","3"
"FRIC91","3"
"FRIC92","3"
"FRIC93","3"
"FRIC95","3"
"FRIC96","3"
"FRIC99","3"
"BOHBU339","3"
"BOHBU340","2"
"BOHBU341","5"
"BOHBU342","3"
"BOHBU343","4"
"BOHBU344","1"
"BOHBU345","1"
"BOHBU346","3"
"BOHBU347","3"
"BOHBU348","3"
"BOHBU349","3"
"BOHBU350","1"
"BOHBU351","3"
"BOHBU352","3"
"BOHBU353","1"
"BOHBU355","3"
"BOHBU358","3"
"KON129","5"
"KON132","1"
"KON134","1"
"SCHLIDR123","5"
"SCHLIDR124","4"
"SCHLIDR125","4"
"WSL113","2"
"BRU148","1"
"LIM148","4"
"LIM149","1"
"LIM150","1"
"LIM151","4"
"LIM152","4"
"LIM153","4"
"LIM154","1"
"LIM155","1"
"LIM156","1"
"LIM157","1"
"LIM158","4"
"LIM159","3"
"BOHBU360","5"
"BOHBU361","5"
"BOHBU362","4"
"BOHBU363","4"
"BOHBU364","5"
"BOHBU365","5"
"BOHBU366","1"
"BOHBU367","4"
"BOHBU368","1"
"BOHBU369","5"
"BOHBU370","4"
"BOHBU371","4"
"BOHBU372","1"
"BOHBU373","4"
"BOHBU374","1"
"BOHBU375","3"
"BOHBU376","2"
"BOHBU377","1"
"BOHBU378","3"
"BOHBU379","1"
"BOHBU380","3"
"BOHBU381","1"
"BOHBU382","5"
"BOHBU383","3"
"BOHBU384","4"
"BOHBU385","4"
"BOHBU386","5"
"BOHBU387","3"
"BOHBU388","3"
"BOHBU389","5"
"BOHBU390","4"
"BOHBU391","1"
"FRIC109","3"
"FRIC110","3"
"FRIC111","3"
"FRIC112","3"
"FRIC113","3"
"FRIC114","3"
"FRIC115","3"
"FRIC116","3"
"FRIC117","3"
"FRIC118","3"
"FRIC119","3"
"FRIC120","3"
"FRIC121","3"
"FRIC122","3"
"FRIC123","3"
"FRIC124","3"
"HAN012","3"
"HAN013","3"
"HAN056","2"
"WSL114","2"
"WSL115","2"
"WSL116","2"
"WSL117","2"
"WSL118","2"
"BRU150","6"
"LIM160","1"
"BOHBU392","5"
"BOHBU393","3"
"BOHBU394","5"
"BOHBU395","3"
"BOHBU396","4"
"BOHBU397","4"
"BOHBU398","5"
"BOHBU400","4"
"BOHBU401","3"
"BOHBU402","4"
"BOHBU404","4"
"BOHBU405","4"
"BOHBU406","3"
"BOHBU407","3"
"BOHBU408","4"
"BOHBU410","1"
"FRIC125","3"
"FRIC126","3"
"FRIC127","3"
"FRIC128","1"
"FRIC129","3"
"FRIC130","3"
"HAN014","3"
"HAN015","5"
"KON135","3"
"KON136","1"
"KON137","1"
"WSL119","2"
"WSL120","2"
"BOHBU411","5"
"BOHBU412","3"
"BOHBU413","3"
"BOHBU414","5"
"BOHBU415","5"
"BOHBU416","5"
"BOHBU417","2"
"BOHBU418","5"
"BOHBU419","5"
"BOHBU420","5"
"FRIC131","3"
"HAN057","2"
"HAN058","2"
"KON138","1"
"KON139","1"
"KON140","1"
"FRIC132","3"
"FRIC133","3"
"FRIC134","3"
"HAN059","2"
"WSL121","2"
"BOHBU421","1"
"BOHBU422","5"
"BOHBU423","4"
"BOHBU424","4"
"BOHBU425","1"
"BOHBU426","5"
"BOHBU427","4"
"KON141","1"
"HAN016","3"
"HAN034","3"
"LIM161","3"
"BOHBU428","1"
"BOHBU429","5"
"KON142","1"
"HAN061","2"
"HAN062","2"
"BOHBU430","5"
"BOHBU431","4"
"BOHBU432","5"
"BOHBU433","3"
"BOHBU434","1"
"BOHBU435","1"
"BRU154","6"
"BRU155","1"
"BRU157","3"
"BRU158","6"
"BRU159","6"
"BRU161","6"
"BRU162","6"
"BRU164","6"
"HAN065","2"
"HAN066","2"
"BRU166","6"
"BRU167","6"
"BRU168","6"
"BRU170","6"
"BRU172","6"
"BRU173","6"
"WSL122","2"
"BOHBU436","3"
"BOHBU437","2"
"BOHBU438","5"
"LIM162","3"
"LIM164","3"
"LIM165","1"
"LIM167","1"
"LIM168","1"
"LIM169","1"
"BRU178","3"
"LIM170","1"
"LIM171","3"
"LIM172","1"
"LIM173","3"
"WSL123","2"
"HAN017","3"
"WSL124","2"
"WSL125","2"
"BRU182","3"
"BRU183","3"
"BRU186","3"
"HAN067","2"
"HAN068","2"
"BRU187","4"
"BRU188","6"
"BRU189","6"
"BRU190","6"
"BRU191","4"
"BRU193","6"
"BRU194","6"
"BUR146","6"
"LIM174","4"
"LIM175","3"
"LIM176","1"
"LIM177","3"
"LIM178","4"
"HAN069","2"
"HAN070","2"
"HAN071","2"
"BOHBU439","3"
"BOHBU440","5"
"BOHBU441","3"
"BOHBU442","3"
"HAN019","3"
"HAN020","3"
"HAN021","1"
"HAN022","3"
"HAN023","3"
"BRU195","6"
"BRU196","6"
"BRU197","6"
"BRU198","6"
"BRU199","6"
"BRU201","6"
"HAN024","3"
"LIM179","3"
"LIM180","1"
"LIM181","1"
"LIM182","1"
"LIM183","4"
"LIM184","1"
"LIM185","4"
"LIM186","1"
"LIM187","4"
"LIM188","3"
"LIM189","4"
"LIM190","4"
"WSL126","2"
"BRU202","6"
"BRU203","6"
"BRU204","6"
"BRU205","6"
"BRU206","6"
"BRU207","6"
"BRU208","3"
"BRU209","3"
"BRU210","6"
"BRU211","6"
"BRU212","3"
"BRU214","3"
"BRU215","3"
"BRU216","3"
"BRU217","3"
"BRU218","3"
"BRU219","4"
"BRU220","6"
"BRU221","6"
"BRU222","6"
"BRU223","6"
"BRU224","5"
"BRU225","2"
"BRU226","6"
"LIM191","3"
"LIM193","4"
"LIM194","4"
"LIM195","4"
"LIM196","1"
"LIM197","3"
"LIM198","3"
"LIM199","1"
"LIM200","4"
"LIM201","4"
"LIM203","1"
"LIM204","3"
"LIM205","4"
"LIM206","1"
"BOHBU444","1"
"BOHBU446","5"
"BUR147","6"
"BUR148","6"
"WSL127","2"
"WSL128","2"
"WSL129","2"
"BRU227","3"
"BRU230","3"
"BRU231","3"
"BRU232","3"
"BRU233","4"
"BRU234","6"
"BRU235","6"
"BRU236","6"
"BUR151","6"
"BUR152","6"
"BUR153","6"
"BUR154","6"
"LIM207","4"
"LIM208","4"
"LIM210","1"
"LIM211","4"
"LIM212","1"
"LIM213","4"
"LIM214","3"
"WSL130","2"
"WSL131","2"
"BOHBU448","3"
"BOHBU449","5"
"BOHBU450","5"
"BOHBU451","3"
"BOHBU452","4"
"BOHBU455","4"
"BOHBU456","4"
"BOHBU457","4"
"BOHBU458","5"
"BOHBU459","4"
"BOHBU460","3"
"BOHBU461","5"
"BOHBU462","5"
"BOHBU463","1"
"BOHBU464","4"
"BOHBU465","5"
"KON144","1"
"KON145","1"
"KON146","1"
"KON147","1"
"KON148","1"
"KON149","1"
"KON150","1"
"KON151","1"
"BRU237","3"
"BRU238","3"
"BRU239","3"
"BUR156","6"
"BUR157","6"
"BUR158","6"
"BUR159","6"
"BUR160","6"
"BUR161","6"
"BUR163","6"
"BUR164","6"
"BUR165","6"
"BUR166","6"
"BOHBU466","3"
"BOHBU467","3"
"BOHBU468","3"
"BOHBU469","4"
"BOHBU470","4"
"BOHBU471","4"
"BOHBU472","1"
"BOHBU473","4"
"BOHBU474","3"
"BOHBU475","3"
"BOHBU477","3"
"BOHBU478","4"
"KON152","1"
"KON153","3"
"KON154","1"
"KON155","1"
"KON156","1"
"KON157","1"
"KON158","1"
"KON159","1"
"KON160","1"
"KON161","1"
"KON162","3"
"KON164","1"
"LIM216","1"
"LIM218","1"
"LIM219","3"
"LIM220","1"
"LIM221","1"
"LIM222","3"
"LIM223","1"
"LIM225","1"
"LIM226","1"
"LIM227","1"
"LIM228","1"
"WSL132","2"
"WSL133","2"
"WSL134","2"
"BRU240","3"
"BRU241","3"
"BRU242","3"
"BUR167","6"
"BUR168","6"
"BUR169","6"
"BUR172","6"
"BUR173","6"
"BUR174","6"
"BUR175","6"
"BUR176","6"
"BUR177","6"
"BUR178","6"
"LIM229","1"
"LIM230","1"
"LIM231","1"
"LIM232","3"
"LIM233","1"
"LIM234","3"
"BOHBU482","5"
"BOHBU485","3"
"BOHBU494","5"
"BOHBU495","4"
"BOHBU503","3"
"BOHBU504","3"
"BOHBU508","4"
"BOHBU509","3"
"BOHBU510","1"
"BOHBU512","1"
"KON166","1"
"KON167","1"
"KON168","1"
"KON169","1"
"KON171","1"
"KON172","1"
"KON173","1"
"KON174","1"
"BRU244","3"
"BRU245","3"
"BRU246","3"
"BRU247","3"
"BRU248","1"
"BUR180","6"
"BUR181","6"
"BUR182","6"
"BUR183","6"
"BUR184","6"
"BUR185","6"
"GEN007","1"
"LIM235","3"
"LIM236","3"
"KON176","1"
"KON177","1"
"KON178","1"
"KON179","1"
"KON180","1"
"KON181","3"
"KON182","2"
"KON183","1"
"KON184","1"
"BOHBU521","1"
"BOHBU522","1"
"BOHBU524","4"
"BUR186","6"
"LIM237","6"
"LIM238","3"
"HAN025","3"
"LIM239","3"
"KON185","1"
"KON186","1"
"HAN074","2"
"HAN075","2"
"HAN076","2"
"WSL135","2"
"WSL136","2"
"WSL137","2"
"WSL138","2"
"WSL139","2"
"KON188","5"
"WSL140","2"
"WSL141","2"
"WSL142","2"
"WSL143","2"
"WSL144","2"
"WSL145","2"
"WSL146","2"
"WSL147","2"
"WSL148","2"
"WSL149","2"
"WSL150","2"
"WSL151","2"
"WSL152","2"
"WSL153","2"
"WSL154","2"
"WSL155","2"
"WSL156","2"
"WSL157","2"
"WSL158","2"
"WSL159","2"
"WSL160","2"
"WSL161","2"
"WSL162","2"
"WSL163","2"
"WSL164","2"
"WSL165","2"
"WSL166","2"
"WSL167","2"
"WSL168","2"
"WSL169","2"
"WSL170","3"
"WSL171","2"
"WSL172","2"
"WSL173","2"
"WSL174","2"
"WSL175","2"
"WSL176","2"
"WSL177","3"
"WSL178","2"
"KON193","2"
"KON195","1"
"KON196","1"
"WSL179","2"
"WSL180","2"
"WSL181","2"
"WSL182","2"
"WSL183","2"
"WSL184","2"
"WSL185","2"
"WSL186","2"
"WSL187","2"
"WSL188","2"
"WSL189","2"
"WSL190","2"
"WSL191","2"
"WSL192","2"
"WSL193","2"
"BOHBU526","5"
"BOHBU527","3"
"BOHBU528","1"
"BOHBU529","2"
"BOHBU530","5"
"BOHBU531","5"
"BOHBU532","5"
"BOHBU533","1"
"BOHBU534","5"
"BOHBU535","3"
"BOHBU536","1"
"BOHBU537","5"
"BOHBU538","5"
"BOHBU539","4"
"BOHBU540","5"
"BOHBU541","3"
"BOHBU542","3"
"BOHBU543","5"
"BOHBU544","5"
"BOHBU545","4"
"BOHBU546","1"
"BOHBU547","1"
"BOHBU548","1"
"BOHBU549","1"
"BOHBU550","1"
"BOHBU551","5"
"BOHBU552","5"
"BOHBU553","5"
"BUR202","6"
"UEBERL207","2"
"UEBERL208","1"
"UEBERL209","1"
"WSL194","2"
"WSL195","2"
"WSL196","2"
"WSL197","2"
"WSL198","2"
"WSL199","2"
"WSL200","2"
"WSL201","2"
"WSL202","2"
"KON197","1"
"KON198","1"
"KON199","2"
"KON200","3"
"KON201","1"
"KON203","1"
"BUR203","6"
"KON204","1"
"KON205","3"
"KON206","1"
"KON207","5"
"KON208","1"
"KON209","1"
"KON210","1"
"KON211","3"
"WSL203","2"
"WSL204","2"
"WSL205","2"
"WSL206","2"
"KON212","3"
"KON213","1"
"KON214","1"
"KON217","3"
"KON218","1"
"KON219","1"
"KON220","1"
"KON221","1"
"BUR216","6"
"GEN005","5"
"KON222","1"
"WSL207","2"
"BUR222","6"
"WSL208","2"
"WSL209","2"
"WSL210","2"
"BUR223","6"
"WSL211","2"
"WSL212","2"
"WSL213","2"
"BUR224","6"
"BUR225","6"
"BUR226","6"
"KON223","5"
"NEUCH41","1"
"BUR227","6"
"BUR228","6"
"BUR229","6"
"BUR230","6"
"BUR231","6"
"BUR232","6"
"BUR233","6"
"NEUCH42","1"
"WSL214","2"
"WSL215","2"
"WSL216","2"
"WSL217","2"
"WSL218","2"
"WSL219","2"
"WSL220","2"
"WSL221","2"
"KON224","5"
"BUR234","6"
"BUR235","6"
"BUR236","6"
"BUR237","6"
"BUR238","6"
"BUR239","6"
"BUR240","6"
"BUR242","6"
"BUR243","6"
"BUR244","6"
"BUR245","6"
"BUR246","6"
"BUR247","6"
"BUR248","6"
"BUR249","6"
"GEN001","1"
"GEN002","1"
"NEUCH44","1"
"NEUCH45","3"
"KON225","1"
"KON226","1"
"KON227","1"
"WSL222","2"
"WSL223","2"
"WSL224","2"
"WSL225","2"
"WSL226","2"
"WSL227","2"
"WSL228","2"
"WSL229","2"
"WSL230","2"
"WSL231","2"
"WSL232","2"
"WSL233","2"
"WSL234","2"
"WSL235","2"
"WSL236","3"
"NEUCH47","1"
"WSL237","2"
"WSL238","2"
"WSL239","2"
"WSL240","2"
"WSL241","4"
"WSL242","2"
"WSL243","2"
"WSL244","2"
"WSL245","2"
"WSL246","2"
"WSL247","2"
"WSL248","2"
"WSL249","2"
"WSL250","2"
"WSL251","2"
"WSL252","2"
"KON228","5"
"KON229","5"
"KON230","1"
"KON231","5"
"KON232","1"
"KON233","1"
"KON234","1"
"BUR250","6"
"BUR251","6"
"BUR252","6"
"BUR253","6"
"BUR254","6"
"BUR255","6"
"BUR256","6"
"BUR257","6"
"BUR258","6"
"BUR259","6"
"BUR260","6"
"BUR261","6"
"BUR262","6"
"BUR263","6"
"WSL253","2"
"WSL254","2"
"WSL255","2"
"WSL256","2"
"WSL257","2"
"WSL258","2"
"WSL259","2"
"WSL260","2"
"WSL261","2"
"WSL262","2"
"WSL263","2"
"WSL264","2"
"WSL265","2"
"BUR264","6"
"BUR265","6"
"BUR266","6"
"BUR267","6"
"BUR268","6"
"BUR269","6"
"BUR270","6"
"BUR271","6"
"BUR272","6"
"BUR273","6"
"BUR274","6"
"BUR275","6"
"BUR276","6"
"BUR277","6"
"BUR278","6"
"KON235","5"
"KON236","5"
"KON237","1"
"KON238","5"
"KON239","1"
"KON240","1"
"WSL266","2"
"WSL267","2"
"WSL268","2"
"WSL269","2"
"WSL270","2"
"WSL271","2"
"WSL272","2"
"WSL273","2"
"WSL274","2"
"WSL275","2"
"WSL276","2"
"WSL277","2"
"WSL278","2"
"WSL279","2"
"KON241","2"
"KON242","1"
"KON243","1"
"BUR279","6"
"BUR280","6"
"BUR281","6"
"KON244","1"
"KON245","1"
"KON246","1"
"WSL280","2"
"WSL281","2"
"WSL282","2"
"WSL283","4"
"BUR282","6"
"BUR283","6"
"BUR284","6"
"BUR285","6"
"KON247","5"
"KON248","5"
"BUR286","6"
"BUR287","6"
"KON249","5"
"KON250","5"
"KON252","5"
"KON253","5"
"KON254","5"
"KON255","5"
"KON256","5"
"BUR289","6"
"BUR290","6"
"BUR291","6"
"BUR292","6"
"BUR296","6"
"BUR297","6"
"BUR298","6"
"BUR299","6"
"BUR300","6"
"BUR301","6"
"NEUCH49","1"
"NEUCH50","3"
"KON257","5"
"KON259","5"
"KON260","5"
"KON261","5"
"KON262","5"
"KON263","5"
"KON264","5"
"KON265","5"
"BUR302","6"
"BUR304","6"
"KON267","5"
"KON268","5"
"KON269","5"
"KON270","5"
"KON271","5"
"KON272","5"
"KON273","5"
"KON274","5"
"KON275","5"
"KON276","5"
"BUR305","6"
"BUR306","6"
"GEN003","1"
"GEN004","1"
"BUR307","6"
"GEN010","1"
"KON277","5"
"KON278","1"
"KON279","1"
"KON280","1"
"KON281","1"
"KON282","1"
"BUR309","6"
"BUR310","6"
"BUR311","6"
"BUR312","6"
"BUR313","6"
"BUR315","6"
"KON283","1"
"KON284","1"
"KON285","1"
"KON286","1"
"KON288","1"
"BUR316","6"
"BUR318","6"
"GEN011","1"
"GEN012","1"
"GEN013","1"
"KON290","5"
"KON291","5"
"KON292","5"
"KON293","5"
"KON294","5"
"KON295","5"
"KON296","5"
"KON297","5"
"KON298","5"
"KON300","5"
"KON302","5"
"KON303","5"
"KON304","3"
"KON305","1"
"KON306","5"
"KON307","5"
"KON308","5"
"KON309","5"
"KON310","5"
"KON311","1"
"KON312","1"
"KON313","5"
"KON314","1"
"SCHIF51","1"
"HAN072","2"
"HAN073","3"
