14,467,243,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,4,2,2,2,2,3,1,1,1,4,1,1,1,3,1,2,1,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,1,1,2,3,1,3,2,2,3,2,1,1,1,2,1,1,1,1,2,3,1,1,3,5,2,3,1,14,3,2,2,1,3,1,3,1,5,1,2,1,4,1,3,2,6,1,7,3,11,4,2,1,1,5,1,5,5,2,1,1,1,2,7,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,1,1,3,7,3,6,2,1,1,3,1,1,1,2,3,1,1,1,2,1,13,3,5,1,1,2,1,1,1,1,1,6,1,2,1,1,1,1,2,1,3,3,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,3,5,7,1,1,5,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1
,,,FRE_1_2011_2010,FRE_6_2011_2011,FRE_1_2012_2011,FRE_9_2013_2013,FRE_11_2013_2013,FRE_9_2017_2017,ALD_3_2011_2010,ALD_7_2011_2011,ALD_8_2011_2011,ALD_10_2011_2011,ALD_12_2011_2011,ALD_1_2012_2011,ALD_11_2012_2012,ALD_11_2013_2013,ALD_2_2014_2013,ALD_9_2014_2014,RIE_3_2011_2010,RIE_4_2011_2010,RIE_6_2011_2011,RIE_8_2011_2011,RIE_10_2011_2011,RIE_11_2011_2011,RIE_12_2011_2011,RIE_3_2012_2011,RIE_10_2012_2012,RIE_11_2012_2012,RIE_12_2012_2012,RIE_2_2013_2012,RIE_3_2013_2012,RIE_10_2013_2013,RIE_11_2013_2013,RIE_12_2013_2013,RIE_1_2014_2013,RIE_2_2014_2013,RIE_9_2014_2014,RIE_11_2014_2014,RIE_1_2015_2014,RIE_2_2015_2014,RIE_12_2015_2015,TRO_3_2011_2010,TRO_4_2011_2010,TRO_11_2011_2011,TRO_1_2013_2012,SCG_3_2011_2010,SCG_7_2011_2011,SCG_11_2011_2011,SCG_6_2014_2014,BOH_5_2011_2011,BOH_6_2011_2011,BOH_8_2011_2011,BOH_9_2011_2011,BOH_10_2011_2011,BOH_12_2011_2011,BOH_8_2012_2012,BOH_9_2012_2012,BOH_10_2012_2012,BOH_11_2012_2012,BOH_9_2013_2013,BOH_10_2013_2013,BOH_11_2013_2013,BOH_7_2014_2014,BOH_8_2014_2014,BOH_11_2014_2014,BOB_8_2011_2011,BOB_10_2011_2011,BOB_11_2011_2011,BOB_12_2011_2011,BOB_2_2012_2011,BOB_3_2012_2011,BOB_5_2012_2012,BOB_9_2012_2012,BOB_10_2012_2012,BOB_11_2012_2012,BOB_8_2013_2013,BOB_9_2013_2013,BOB_10_2013_2013,BOB_12_2013_2013,BOB_1_2014_2013,BOB_2_2014_2013,BOB_3_2014_2013,BOB_7_2014_2014,BOB_8_2014_2014,BOB_9_2014_2014,BOB_10_2014_2014,BOB_11_2014_2014,BOB_12_2014_2014,BOB_3_2015_2014,BOB_6_2015_2015,BOB_8_2015_2015,BOB_8_2016_2016,BOB_10_2016_2016,BOB_11_2016_2016,BOB_12_2016_2016,BOB_8_2017_2017,BOB_9_2017_2017,BOB_10_2017_2017,BOB_11_2017_2017,BOB_12_2017_2017,BOB_3_2018_2017,BOB_4_2018_2017,BOB_6_2018_2018,BOB_8_2018_2018,BOB_9_2018_2018,BOB_10_2018_2018,BOB_9_2019_2019,FRB_10_2011_2011,FRB_10_2012_2012,FRB_11_2012_2012,FRB_2_2013_2012,FRB_12_2013_2013,UEB_10_2011_2011,UEB_7_2012_2012,UEB_8_2012_2012,UEB_9_2012_2012,UEB_2_2013_2012,UEB_4_2013_2012,UEB_5_2013_2013,UEB_8_2013_2013,UEB_10_2013_2013,UEB_2_2014_2013,UEB_3_2014_2013,UEB_6_2014_2014,UEB_7_2014_2014,UEB_9_2014_2014,UEB_10_2014_2014,UEB_1_2015_2014,UEB_3_2015_2014,UEB_9_2015_2015,SCL_4_2012_2011,SCL_7_2012_2012,SCL_9_2012_2012,SCL_10_2012_2012,SCL_11_2012_2012,SCL_12_2012_2012,SCL_1_2013_2012,SCL_7_2013_2013,SCL_8_2013_2013,SCL_10_2013_2013,SCL_4_2014_2013,SCL_6_2014_2014,SCL_7_2014_2014,SCL_8_2014_2014,SCL_7_2015_2015,SCL_9_2016_2016,SCL_9_2017_2017,SCD_7_2012_2012,SCD_9_2012_2012,SCD_10_2012_2012,SCD_11_2012_2012,SCD_8_2013_2013,SCD_9_2013_2013,SCD_10_2013_2013,SCD_11_2013_2013,SCD_1_2014_2013,SCD_9_2014_2014,SCD_7_2015_2015,SCD_8_2015_2015,SCD_11_2015_2015,SCD_8_2016_2016,SCD_10_2016_2016,WSL_9_2012_2012,WSL_8_2016_2016,WSL_10_2016_2016,WSL_10_2020_2020,BUR_7_2013_2013,BUR_8_2013_2013,BUR_9_2013_2013,BUR_10_2013_2013,BUR_12_2013_2013,BUR_10_2014_2014,BUR_11_2014_2014,BUR_12_2014_2014,BUR_11_2015_2015,BUR_8_2016_2016,BUR_9_2016_2016,SCS_8_2013_2013,SCS_10_2013_2013,SCS_11_2013_2013,SCS_12_2014_2014,NEU_9_2013_2013,NEU_11_2013_2013,NEU_11_2014_2014,NEU_10_2015_2015,NEU_9_2016_2016,NEU_9_2020_2020,UST_9_2013_2013,UST_10_2013_2013,UST_11_2013_2013,UST_1_2014_2013,UST_8_2014_2014,UST_9_2014_2014,KON_9_2013_2013,KON_11_2013_2013,KON_9_2014_2014,KON_10_2014_2014,KON_11_2014_2014,KON_12_2014_2014,KON_1_2015_2014,KON_8_2016_2016,KON_11_2016_2016,KON_12_2016_2016,KON_9_2017_2017,KON_10_2017_2017,KON_11_2017_2017,KON_9_2018_2018,KON_10_2018_2018,KON_10_2019_2019,KON_11_2020_2020,KON_8_2023_2023,FRI_10_2013_2013,FRI_11_2013_2013,FRI_9_2014_2014,FRI_1_2015_2014,FRI_9_2017_2017,FRI_10_2017_2017,BAR_6_2014_2014,BRU_6_2016_2016,BRU_7_2016_2016,BRU_8_2016_2016,BRU_10_2016_2016,BRU_12_2016_2016,BRU_11_2017_2017,BRU_3_2018_2017,BRU_6_2018_2018,BRU_8_2018_2018,BRU_10_2018_2018,LIM_7_2016_2016,LIM_8_2016_2016,LIM_10_2016_2016,LIM_11_2016_2016,LIM_12_2016_2016,LIM_2_2017_2016,LIM_7_2017_2017,HAN_12_2016_2016,HAN_1_2017_2016,HAN_2_2017_2016,HAN_7_2017_2017,HAN_9_2017_2017,HAN_11_2017_2017,HAN_7_2018_2018,GEN_10_2018_2018,GEN_1_2020_2019,SCHIF_0_2016_2016
Ind,Pop,aest06_1,aest07_1,aest15_1,aest26_1,aest28_1,aest35_1,aest36_1,aest01_1,aest10_1,aest18_1,aest24_1,aest25_1,aest29_1,aest31_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FREI1","FRE_1_2011_2010","230","266","317","157","401","152","326","254","294","136","304","137","204","313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREI10","FRE_6_2011_2011","236","261","312","157","389","152","322","254","295","144","295","128","216","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREI28","FRE_1_2012_2011","236","261","312","157","353","152","322","254","295","144","295","128","216","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREI54","FRE_9_2013_2013","218","256","312","157","356","148","322","254","295","160","295","122","216","308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREI59","FRE_11_2013_2013","230","266","317","157","401","152","326","254","294","136","304","137","204","318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREI240","FRE_9_2017_2017","218","261","312","157","356","148","326","236","280","164","298","128","211","313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALD1","ALD_3_2011_2010","234","261","312","145","356","148","326","242","295","140","298","128","211","308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
