aest06_1.230,aest06_1.234,aest06_1.218,aest06_1.236,aest06_1.224,RowNames
0,0,0,1,0,BOHBU362
0,0,1,0,0,BOHBU363
0,0,0,1,0,BOHBU370
0,0,0,1,0,BOHBU373
0,0,1,0,0,BOHBU377
0,0,0,1,0,BOHBU380
0,0,1,0,0,BOHBU382
0,0,1,0,0,BOHBU398
0,0,0,1,0,BOHBU404
0,0,1,0,0,BOHBU414
0,0,0,1,0,BOHBU415
0,0,1,0,0,BOHBU416
0,0,0,1,0,BOHBU417
0,0,0,1,0,BOHBU431
0,0,1,0,0,BOHBU434
0,0,1,0,0,BOHBU437
0,0,1,0,0,BOHBU440
0,0,1,0,0,BOHBU451
0,0,1,0,0,BOHBU452
0,0,0,0,0,BOHBU455
0,0,0,1,0,BOHBU461
0,0,1,0,0,BOHBU465
0,0,1,0,0,BOHBU468
0,0,1,0,0,BOHBU482
0,0,0,1,0,BOHBU485
0,0,1,0,0,BOHBU494
0,0,1,0,0,BOHBU495
0,0,1,0,0,BOHBU509
0,0,1,0,0,BOHBU534
0,0,1,0,0,BOHBU538
0,0,0,1,0,BOHBU539
0,0,1,0,0,BOHBU545
0,0,1,0,0,BOHBU553
0,0,0,0,1,FREIBRUM1
0,0,1,0,0,FREIBRUM3
0,0,1,0,0,FREIBRUM6
1,0,0,0,0,FREIBRUM7
0,0,0,0,1,FREIBRUM11
0,0,1,0,0,FREIBRUM13
0,0,1,0,0,FREIBRUM14
0,0,0,1,0,UEBERL117
0,0,0,1,0,UEBERL121
0,0,0,1,0,UEBERL126
0,0,0,1,0,UEBERL133
0,0,0,1,0,UEBERL138
0,0,0,1,0,UEBERL140
0,0,0,1,0,UEBERL143
0,0,1,0,0,UEBERL1
0,0,0,1,0,UEBERL2
0,0,0,1,0,UEBERL4
0,0,0,1,0,UEBERL6
0,0,0,1,0,UEBERL9
0,0,0,1,0,UEBERL13
0,0,0,1,0,UEBERL14
0,0,0,1,0,UEBERL16
0,0,0,1,0,UEBERL149
0,0,0,1,0,UEBERL179
0,0,0,1,0,UEBERL32
0,0,1,0,0,UEBERL34
0,0,0,1,0,UEBERL39
1,0,0,0,0,UEBERL42
0,0,0,1,0,UEBERL44
0,0,0,1,0,UEBERL48
0,0,0,1,0,UEBERL56
0,0,0,1,0,UEBERL61
0,0,0,1,0,UEBERL66
0,0,0,1,0,UEBERL82
0,0,1,0,0,UEBERL87
0,0,0,1,0,UEBERL110
0,0,1,0,0,SCHLIGR3
0,0,1,0,0,SCHLIGR4
0,0,1,0,0,SCHLIGR7
0,0,1,0,0,SCHLIGR119
0,0,1,0,0,SCHLIGR126
0,0,1,0,0,SCHLIGR127
0,0,1,0,0,SCHLIGR132
0,0,1,0,0,SCHLIGR159
0,0,1,0,0,SCHLIGR10
0,0,1,0,0,SCHLIGR12
0,0,1,0,0,SCHLIGR18
0,0,1,0,0,SCHLIGR19
0,0,1,0,0,SCHLIGR21
0,0,1,0,0,SCHLIGR22
0,0,1,0,0,SCHLIGR23
0,0,1,0,0,SCHLIGR24
0,0,1,0,0,SCHLIGR25
0,0,1,0,0,SCHLIGR27
0,0,1,0,0,SCHLIGR28
0,0,1,0,0,SCHLIGR29
0,0,1,0,0,SCHLIGR31
0,0,1,0,0,SCHLIGR33
0,0,1,0,0,SCHLIGR34
0,0,1,0,0,SCHLIGR35
0,0,1,0,0,SCHLIGR38
0,0,1,0,0,SCHLIGR40
0,0,1,0,0,SCHLIGR44
0,0,1,0,0,SCHLIGR46
0,0,1,0,0,SCHLIGR50
0,0,1,0,0,SCHLIGR63
0,0,1,0,0,SCHLIGR67
0,0,1,0,0,SCHLIGR88
0,0,1,0,0,SCHLIGR91
0,0,1,0,0,SCHLIGR93
0,0,1,0,0,SCHLIGR98
0,0,1,0,0,SCHLIGR109
0,0,1,0,0,SCHLIGR270
0,0,1,0,0,SCHLIGR352
0,0,1,0,0,SCHLIGR354
0,0,1,0,0,SCHLIDR1
0,0,1,0,0,SCHLIDR2
0,0,1,0,0,SCHLIDR3
0,0,1,0,0,SCHLIDR10
0,0,1,0,0,SCHLIDR11
0,0,1,0,0,SCHLIDR12
0,0,1,0,0,SCHLIDR13
0,0,1,0,0,SCHLIDR14
0,0,1,0,0,SCHLIDR15
0,0,1,0,0,SCHLIDR16
0,0,1,0,0,SCHLIDR6
0,0,1,0,0,SCHLIDR7
0,0,1,0,0,SCHLIDR8
0,0,1,0,0,SCHLIDR9
0,0,1,0,0,SCHLIDR17
0,0,1,0,0,SCHLIDR19
0,0,1,0,0,SCHLIDR20
0,0,1,0,0,SCHLIDR23
0,0,1,0,0,SCHLIDR24
0,0,1,0,0,SCHLIDR25
0,0,1,0,0,SCHLIDR26
0,0,1,0,0,SCHLIDR27
0,0,1,0,0,SCHLIDR30
0,0,1,0,0,SCHLIDR33
0,0,1,0,0,SCHLIDR34
0,0,1,0,0,SCHLIDR35
0,0,1,0,0,SCHLIDR37
0,0,1,0,0,SCHLIDR38
0,0,1,0,0,SCHLIDR45
0,0,1,0,0,SCHLIDR50
0,0,1,0,0,SCHLIDR53
0,0,1,0,0,SCHLIDR67
0,0,1,0,0,SCHLIDR68
0,0,1,0,0,SCHLIDR69
0,0,1,0,0,SCHLIDR70
0,0,1,0,0,SCHLIDR71
0,0,1,0,0,SCHLIDR72
0,0,1,0,0,SCHLIDR76
0,0,0,0,1,SCHLIDR105
0,0,1,0,0,SCHLIDR109
0,0,0,0,1,WSL001
0,0,0,0,1,WSL002
0,0,0,0,1,WSL041
0,0,1,0,0,WSL241
0,0,1,0,0,BUR1
0,0,1,0,0,BUR2
0,0,1,0,0,BUR3
0,0,1,0,0,BUR10
0,0,1,0,0,BUR15
0,0,1,0,0,BUR6
0,0,1,0,0,BUR19
0,0,1,0,0,BUR32
0,0,1,0,0,BUR39
0,0,1,0,0,BUR71
0,0,1,0,0,BUR73
0,0,1,0,0,BUR78
0,0,0,0,0,BUR80
0,0,1,0,0,BUR81
0,0,1,0,0,BUR83
0,0,1,0,0,BUR90
0,0,1,0,0,BUR91
0,0,0,0,0,BUR98
0,0,0,0,0,BUR104
0,0,1,0,0,SCHIF1
0,0,0,0,1,SCHIF3
0,0,1,0,0,SCHIF7
0,0,1,0,0,SCHIF8
0,0,1,0,0,SCHIF24
